speakMaori,compMaori,maoriEducation,linguistics,age,gender,ethnicity,bornNz,island,outsideNz,regionMost,qualification,mediaMaori,socialMaori,children,maoriList,regionCurrentLive,duration,firstLang,firstLangCountry,otherLangs,hawaii,anyPolynesian,whichPolynesian,maoriRespect,maoriCompulsory,maoriProf,maoriExpo,maoriAttitude,workerId
1,1,2,no,40-49,F,M,Yes,south,No,West Coast,high,5,4,Yes,8,Bay of Plenty,short,English,NZ,None,No,No,None,5,5,2,9,10,201
2,1,0,no,50-59,F,M,Yes,south,No,Canterbury,undergraduate,3,3,No,9,Canterbury,long,English,NZ,None,No,No,None,5,5,3,6,10,202
1,1,1,no,18-29,F,Non M,Yes,north,No,Taranaki,graduate,2,4,No,5,Manawatu,short,English,NZ,None,No,No,None,4,5,2,6,9,204
2,3,4,no,30-39,F,Non M,Yes,south,No,Otago,graduate,4,4,No,9,Otago,short,English,NZ,None,No,No,None,5,5,5,8,10,205
1,2,0,no,18-29,F,Non M,No,north,No,Auckland,undergraduate,4,2,No,7,Auckland,long,English,Other,None,No,No,None,5,5,3,6,10,207
1,1,0,no,60,F,Non M,Yes,south,No,Canterbury,undergraduate,5,4,No,9,Canterbury,long,English,NZ,None,No,No,None,5,5,2,9,10,208
1,1,1,no,18-29,NB,Non M,Yes,south,No,Canterbury,high,1,1,No,6,Wellington,short,English,NZ,jpn,No,No,None,5,5,2,2,10,209
1,1,1,lang,30-39,F,Non M,Yes,north,No,Waikato,graduate,4,2,No,5,Waikato,long,English,NZ,jpn,No,No,None,5,5,2,6,10,210
1,1,1,no,18-29,F,Non M,Yes,south,No,Nelson Bays,high,5,5,Yes,9,Canterbury,short,English,NZ,None,No,No,None,5,5,2,10,10,211
1,1,0,no,60,F,Non M,Yes,north,No,Wairarapa,graduate,5,4,No,3,Wellington,long,English,NZ,None,No,No,None,5,5,2,9,10,213
1,0,0,no,30-39,F,Non M,Yes,north,No,Waikato,undergraduate,3,2,Yes,5,Wellington,long,English,NZ,None,No,No,None,5,4,1,5,9,214
1,1,1,no,18-29,F,Non M,Yes,south,No,Otago,undergraduate,4,3,No,4,Otago,long,English,NZ,None,No,No,None,5,4,2,7,9,215
0,0,0,lang,18-29,F,Non M,Yes,south,No,Timaru - Oamaru,undergraduate,3,3,Yes,1,Timaru - Oamaru,short,English,NZ,deu,No,No,None,5,5,0,6,10,216
1,1,0,no,40-49,F,Non M,Yes,north,No,Manawatu,undergraduate,4,3,No,0,Manawatu,long,English,NZ,None,No,No,None,3,3,2,7,6,217
0,0,1,no,30-39,M,Non M,Yes,south,Yes,Nelson Bays,high,2,3,No,4,Nelson Bays,short,English,NZ,None,No,No,None,5,5,0,5,10,218
2,2,2,no,60,F,Non M,Yes,equal,No,Wellington,graduate,4,4,Yes,8,Wellington,long,English,NZ,None,No,No,None,5,5,4,8,10,220
1,1,0,no,40-49,F,Non M,Yes,south,No,Canterbury,high,5,2,Yes,9,Canterbury,long,English,NZ,None,No,No,None,5,5,2,7,10,221
1,2,0,no,18-29,F,Non M,Yes,north,No,Auckland,graduate,5,5,No,8,Canterbury,short,English,NZ,None,No,No,None,5,5,3,10,10,222
2,2,1,yes,30-39,F,Non M,Yes,south,Yes,Canterbury,undergraduate,5,5,No,8,Canterbury,long,English,NZ,cmn,No,No,None,5,5,4,10,10,223
1,1,0,no,60,F,Non M,Yes,north,No,Wellington,undergraduate,5,4,No,0,Wellington,short,English,NZ,None,No,No,None,4,5,2,9,9,225
0,0,0,no,50-59,F,Non M,Yes,north,No,Hawke's Bay,high,4,4,No,1,Waikato,short,English,NZ,None,No,No,None,3,2,0,8,5,226
1,1,1,no,18-29,F,Non M,Yes,south,No,Otago,graduate,4,3,No,8,Otago,long,English,NZ,None,No,No,None,5,5,2,7,10,228
1,1,0,no,60,F,Non M,Yes,south,No,Otago,undergraduate,5,4,No,3,Otago,long,English,NZ,None,No,No,None,4,5,2,9,9,229
1,1,3,no,50-59,F,Non M,Yes,south,No,Southland,graduate,5,5,No,9,Nelson Bays,short,English,NZ,None,No,No,None,5,5,2,10,10,231
1,1,3,no,50-59,F,Non M,Yes,south,No,West Coast,undergraduate,2,2,No,4,Nelson Bays,long,English,NZ,None,No,No,None,4,4,2,4,8,232
1,2,3,no,50-59,NS,Non M,Yes,north,No,Waikato,graduate,4,4,Yes,8,Waikato,long,English,NZ,None,No,No,None,5,4,3,8,9,233
0,0,0,no,40-49,F,M,Yes,north,No,Waikato,high,3,3,No,2,Waikato,long,English,NZ,None,No,No,None,5,5,0,6,10,234
1,0,0,no,30-39,F,Non M,No,north,No,Auckland,graduate,3,3,No,4,Auckland,long,English,Other,None,No,No,None,3,3,1,6,6,235
1,2,4,no,30-39,M,Non M,No,north,Yes,Auckland,graduate,3,4,Yes,4,Auckland,short,NonEnglish,Other,None,No,No,None,5,5,3,7,10,237
1,1,0,no,60,F,Non M,Yes,north,Yes,Bay of Plenty,undergraduate,4,4,No,6,Bay of Plenty,long,English,NZ,None,No,No,None,5,4,2,8,9,238
2,2,1,no,30-39,M,Non M,Yes,north,No,Waikato,graduate,5,5,Yes,9,Waikato,long,English,NZ,None,No,No,None,5,5,4,10,10,239
1,1,2,no,40-49,F,Non M,Yes,north,No,Wellington,undergraduate,4,3,Yes,8,Wellington,long,English,NZ,None,No,No,None,5,5,2,7,10,241
2,2,0,no,30-39,F,Non M,No,north,Yes,Auckland,graduate,4,4,Yes,5,Auckland,short,NonEnglish,Other,None,No,No,None,4,5,4,8,9,242
1,1,1,no,50-59,F,Non M,Yes,north,No,Waikato,high,5,5,No,5,Waikato,long,English,NZ,None,No,No,None,5,1,2,10,6,243
1,1,0,no,50-59,F,Non M,Yes,north,No,Manawatu,high,5,2,Yes,4,Manawatu,long,English,NZ,None,No,No,None,4,2,2,7,6,244
2,1,0,no,40-49,F,M,Yes,north,No,Waikato,high,4,4,Yes,6,Waikato,long,English,NZ,None,No,No,None,5,5,3,8,10,245
1,1,1,no,18-29,F,Non M,Yes,equal,No,Nelson Bays,graduate,1,4,No,8,Wellington,short,English,NZ,"jan, cmn, fra",No,No,None,5,5,2,5,10,246
1,1,1,no,40-49,F,Non M,Yes,north,No,Wellington,graduate,3,3,No,7,Wellington,long,English,NZ,None,No,No,None,5,5,2,6,10,247
1,1,0,no,40-49,F,Non M,Yes,north,No,Auckland,graduate,5,3,Yes,4,Auckland,long,English,NZ,None,No,No,None,3,2,2,8,5,248
1,1,1,no,18-29,M,Non M,Yes,north,No,Wellington,undergraduate,4,4,No,5,Wellington,long,English,NZ,None,No,No,None,4,5,2,8,9,249
2,2,0,no,40-49,F,Non M,Yes,north,No,Wellington,high,5,5,Yes,7,Wellington,long,English,NZ,None,No,Yes,Cook Island Maori,5,4,4,10,9,250
1,1,1,lang,30-39,M,Non M,Yes,south,No,Timaru - Oamaru,graduate,5,5,Yes,9,Timaru - Oamaru,short,English,NZ,deu,No,No,None,5,5,2,10,10,251
1,1,0,no,40-49,F,Non M,Yes,south,No,Otago,graduate,4,4,No,4,Otago,long,English,NZ,None,No,No,None,5,5,2,8,10,252
1,0,1,lang,18-29,F,Non M,Yes,north,No,Auckland,undergraduate,3,2,No,2,Auckland,long,English,NZ,cmn,No,No,None,5,5,1,5,10,254
1,1,0,no,30-39,M,Non M,Yes,south,No,Southland,undergraduate,2,1,Yes,4,Southland,short,English,NZ,jpn,No,No,None,5,4,2,3,9,255
1,1,1,no,18-29,M,Non M,No,north,No,Wellington,undergraduate,4,2,No,5,Wellington,short,English,NZ,None,No,No,None,4,5,2,6,9,257
1,2,1,no,18-29,NB,Non M,Yes,south,No,Nelson Bays,high,5,4,No,9,Nelson Bays,short,English,NZ,None,No,No,None,5,4,3,9,9,258
1,2,1,no,30-39,F,Non M,No,north,No,Auckland,undergraduate,4,4,No,9,Canterbury,short,English,Other,None,No,No,None,5,5,3,8,10,259
1,1,0,no,30-39,F,M,Yes,north,No,Auckland,high,5,3,No,3,Auckland,long,English,NZ,None,No,No,None,5,5,2,8,10,262
1,1,1,no,30-39,M,Non M,Yes,north,No,Waikato,high,4,4,Yes,7,Waikato,long,English,NZ,None,No,No,None,3,4,2,8,7,263
1,1,1,no,18-29,F,Non M,Yes,north,No,Manawatu,undergraduate,3,3,No,9,Manawatu,long,English,NZ,None,No,No,None,5,5,2,6,10,264
1,1,4,no,50-59,M,Non M,Yes,south,No,Canterbury,undergraduate,5,5,Yes,9,Canterbury,long,English,NZ,None,No,No,None,5,4,2,10,9,265
1,1,1,no,30-39,F,Non M,Yes,north,No,Auckland,undergraduate,5,3,Yes,3,Timaru - Oamaru,short,English,NZ,None,No,No,None,5,5,2,8,10,266
1,1,0,no,50-59,F,M,Yes,north,No,Northland,high,2,1,No,5,Northland,long,English,NZ,None,No,No,None,5,4,2,3,9,267
1,1,1,no,50-59,F,Non M,Yes,south,No,Canterbury,graduate,5,2,No,2,Canterbury,long,English,NZ,None,No,Yes,Samoan,5,5,2,7,10,268
