speakMaori,compMaori,maoriEducation,linguistics,age,gender,ethnicity,bornNz,island,outsideNz,regionMost,qualification,mediaMaori,socialMaori,children,maoriList,regionCurrentLive,duration,firstLang,firstLangCountry,otherLangs,hawaii,anyPolynesian,whichPolynesian,maoriRespect,maoriCompulsory,maoriProf,maoriExpo,maoriAttitude,workerId
1,1,0,no,50-59,F,Non M,Yes,north,No,Taranaki,graduate,5,4,No,5,Taranaki,long,English,NZ,None,No,No,None,5,3,2,9,8,44
2,2,0,no,60,F,Non M,Yes,north,No,Wellington,undergraduate,5,4,No,5,Wellington,long,English,NZ,None,No,No,None,5,5,4,9,10,45
1,0,1,no,30-39,M,Non M,No,north,No,Auckland,undergraduate,4,5,No,3,Waikato,short,NonEnglish,Other,tmn,No,No,None,3,2,1,9,5,46
1,1,1,no,18-29,F,Non M,Yes,north,No,Waikato,high,5,3,No,7,Waikato,long,English,NZ,None,No,No,None,5,5,2,8,10,47
1,1,0,no,30-39,F,M,Yes,north,No,Hawke's Bay,high,4,1,Yes,8,Hawke's Bay,long,English,NZ,None,No,No,None,5,3,2,5,8,49
0,0,0,no,30-39,F,Non M,Yes,north,No,Wairarapa,high,5,2,Yes,3,Auckland,short,English,NZ,None,No,No,None,5,4,0,7,9,50
1,1,3,no,18-29,M,Non M,Yes,south,No,Canterbury,graduate,5,4,No,3,Canterbury,long,English,NZ,spa,No,No,None,5,5,2,9,10,52
1,1,1,no,18-29,F,Non M,Yes,south,No,Canterbury,undergraduate,2,4,No,6,Canterbury,long,English,NZ,None,No,No,None,5,5,2,6,10,53
1,1,1,no,18-29,F,M,Yes,north,No,Waikato,undergraduate,5,5,No,4,Waikato,long,English,NZ,None,No,No,None,2,1,2,10,3,55
1,1,0,no,60,F,Non M,Yes,north,No,Auckland,high,5,1,No,3,Auckland,long,English,NZ,None,No,No,None,5,3,2,6,8,57
1,2,2,no,18-29,F,Non M,Yes,north,No,Auckland,undergraduate,2,3,No,5,Auckland,long,English,NZ,None,No,No,None,4,4,3,5,8,58
1,1,1,no,18-29,F,Non M,Yes,south,No,Canterbury,high,4,4,No,4,Canterbury,long,English,NZ,None,No,No,None,3,4,2,8,7,59
1,1,1,no,18-29,F,M,Yes,north,No,Northland,high,3,3,No,2,Wellington,short,English,NZ,None,No,No,None,5,5,2,6,10,60
0,1,3,no,60,F,Non M,Yes,north,No,Taranaki,undergraduate,5,5,No,3,Taranaki,long,English,NZ,None,No,No,None,5,5,1,10,10,61
1,1,1,no,18-29,F,Non M,Yes,north,No,Auckland,undergraduate,5,4,No,6,Otago,short,English,NZ,None,No,No,None,3,5,2,9,8,63
1,1,1,no,50-59,F,Non M,Yes,north,No,Auckland,graduate,4,2,No,6,Auckland,long,English,NZ,None,No,No,None,5,5,2,6,10,64
2,2,3,lang,18-29,F,Non M,No,north,No,Auckland,undergraduate,5,4,No,6,Auckland,long,English,Other,None,No,No,None,5,5,4,9,10,65
1,1,1,no,40-49,F,M,Yes,north,No,Waikato,undergraduate,5,4,Yes,7,Bay of Plenty,short,English,NZ,None,No,No,None,5,5,2,9,10,66
1,1,1,lang,30-39,M,Non M,Yes,north,No,Waikato,undergraduate,2,1,Yes,4,Wellington,long,English,NZ,None,No,No,None,4,4,2,3,8,68
1,1,0,no,50-59,F,Non M,Yes,north,No,Wairarapa,high,4,3,No,5,Wairarapa,long,English,NZ,None,No,No,None,5,5,2,7,10,69
1,1,0,no,30-39,F,Non M,Yes,north,No,Auckland,undergraduate,5,5,Yes,9,Wellington,long,English,NZ,None,No,No,None,5,5,2,10,10,70
1,1,1,no,18-29,F,Non M,No,north,No,Auckland,graduate,1,1,No,3,Auckland,long,English,NZ,cmn,No,No,None,5,5,2,2,10,71
1,1,1,no,50-59,F,Non M,No,north,No,Northland,undergraduate,4,5,No,5,Wairarapa,short,English,NZ,None,No,No,None,5,5,2,9,10,72
0,0,0,no,60,M,Non M,Yes,north,No,Wellington,graduate,5,3,No,3,Wellington,long,English,NZ,None,No,No,None,5,5,0,8,10,73
2,2,1,lang,30-39,F,Non M,Yes,north,No,Bay of Plenty,undergraduate,4,5,Yes,8,Wellington,long,English,NZ,None,No,No,None,5,5,4,9,10,74
2,3,3,lang,40-49,F,Non M,Yes,north,No,Auckland,undergraduate,5,4,Yes,9,Auckland,long,NonEnglish,NZ,None,No,Yes,None,5,4,5,9,9,77
1,1,2,no,50-59,F,Non M,Yes,north,No,Auckland,undergraduate,4,1,No,6,Canterbury,long,English,NZ,deu,No,No,None,5,5,2,5,10,78
1,1,0,no,40-49,M,Non M,Yes,north,No,Auckland,graduate,5,5,No,8,Auckland,long,English,NZ,None,No,No,None,3,3,2,10,6,79
2,2,0,no,30-39,F,Non M,Yes,north,No,Waikato,undergraduate,4,4,Yes,9,Waikato,long,English,NZ,None,No,No,None,4,5,4,8,9,80
1,1,0,no,30-39,F,Non M,Yes,north,Yes,Auckland,graduate,4,4,No,7,Northland,short,English,NZ,None,No,No,None,5,5,2,8,10,81
1,1,0,no,18-29,F,Non M,Yes,south,No,Canterbury,undergraduate,2,5,No,2,Canterbury,long,English,NZ,None,No,No,None,5,5,2,7,10,82
2,1,2,no,18-29,M,Non M,Yes,north,No,Auckland,high,3,2,No,8,Auckland,long,English,NZ,None,No,No,None,5,4,3,5,9,83
1,1,3,no,18-29,F,Non M,No,south,No,Canterbury,undergraduate,2,2,No,5,Canterbury,long,English,NZ,None,No,No,None,5,5,2,4,10,84
1,1,0,no,50-59,F,M,Yes,north,Yes,Auckland,graduate,4,5,No,5,Auckland,long,English,NZ,afr,No,No,None,5,5,2,9,10,85
1,1,1,no,18-29,F,Non M,Yes,north,No,Auckland,undergraduate,4,4,No,7,Auckland,long,English,NZ,None,No,No,None,5,5,2,8,10,86
1,1,1,no,18-29,M,Non M,Yes,north,No,Auckland,high,3,4,No,7,Manawatu,short,English,NZ,None,No,No,None,5,5,2,7,10,87
1,0,0,no,50-59,F,Non M,Yes,north,No,Bay of Plenty,high,5,4,No,6,Bay of Plenty,long,English,NZ,None,No,No,None,5,1,1,9,6,89
